date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1998-01-02,0,30.5,30.75,29.5,29.75,8.7508,57400.0,0.0,1.0
1998-01-05,1,29.5,30.13,28.5,28.63,8.4213,320667.0,0.0,1.0
1998-01-06,2,28.63,29.13,28.25,29.13,8.5684,66867.0,0.0,1.0
1998-01-07,3,28.5,29.0,28.5,28.63,8.4213,280867.0,0.0,1.0
1998-01-08,4,29.0,29.0,28.44,28.44,8.3654,88667.0,0.0,1.0
1998-01-09,5,28.25,28.38,27.06,27.06,7.9595,160067.0,0.0,1.0
1998-01-12,6,27.06,27.88,26.25,27.0,7.9419,627267.0,0.0,1.0
1998-01-13,7,27.75,27.75,27.13,27.5,8.0889,155467.0,0.0,1.0
1998-01-14,8,28.0,28.13,27.5,27.88,8.2007,207467.0,0.0,1.0
1998-01-15,9,28.25,28.31,27.75,28.31,8.3272,255800.0,0.0,1.0
1998-01-16,10,28.25,29.5,28.13,28.75,8.4566,278667.0,0.0,1.0
1998-01-20,11,28.63,30.13,28.63,30.0,8.8243,353667.0,0.0,1.0
1998-01-21,12,29.75,29.75,29.0,29.38,8.6419,114067.0,0.0,1.0
1998-01-22,13,29.5,29.5,29.13,29.25,8.6037,156800.0,0.0,1.0
1998-01-23,14,29.63,29.63,28.25,28.88,8.4949,68600.0,0.0,1.0
1998-01-26,15,28.63,29.38,28.63,29.13,8.5684,41200.0,0.0,1.0
1998-01-27,16,29.0,29.94,28.88,29.88,8.789,100867.0,0.0,1.0
1998-01-28,17,29.5,30.13,29.5,30.0,8.8243,92067.0,0.0,1.0
1998-01-29,18,29.88,30.13,29.38,30.13,8.8625,349200.0,0.0,1.0
1998-01-30,19,30.0,30.06,29.63,29.75,8.7508,60000.0,0.0,1.0
1998-02-02,20,29.75,30.13,29.5,29.5,8.6772,183267.0,0.0,1.0
1998-02-03,21,29.63,30.0,29.0,29.5,8.6772,119667.0,0.0,1.0
1998-02-04,22,29.0,29.5,28.81,29.19,8.586,291600.0,0.0,1.0
1998-02-05,23,29.0,29.56,29.0,29.44,8.6596,90400.0,0.0,1.0
1998-02-06,24,29.0,29.63,29.0,29.13,8.5684,85200.0,0.0,1.0
1998-02-09,25,29.13,29.63,29.13,29.5,8.6772,78600.0,0.0,1.0
1998-02-10,26,29.63,29.75,29.25,29.5,8.6772,70267.0,0.0,1.0
1998-02-11,27,29.38,30.5,29.38,30.38,8.9361,164000.0,0.0,1.0
1998-02-12,28,30.0,30.38,29.88,30.0,8.8243,159400.0,0.0,1.0
1998-02-13,29,30.25,30.25,29.88,30.13,8.8625,277000.0,0.0,1.0
1998-02-17,30,30.25,31.25,30.25,31.19,9.1743,312867.0,0.0,1.0
1998-02-18,31,31.13,31.5,31.13,31.5,9.2655,227267.0,0.0,1.0
1998-02-19,32,31.5,31.75,31.25,31.5,9.2655,172200.0,0.0,1.0
1998-02-20,33,31.75,31.88,31.25,31.5,9.2655,76200.0,0.0,1.0
1998-02-23,34,31.75,31.88,31.5,31.75,9.3391,95000.0,0.0,1.0
1998-02-24,35,31.5,31.63,30.25,30.25,8.8978,218067.0,0.0,1.0
1998-02-25,36,30.25,31.0,30.25,31.0,9.1184,107800.0,0.0,1.0
1998-02-26,37,30.25,31.25,30.25,31.25,9.192,39600.0,0.0,1.0
1998-02-27,38,30.94,31.25,30.75,31.0,9.1184,108667.0,0.0,1.0
1998-03-02,39,31.5,32.25,31.0,32.13,9.4508,186467.0,0.0,1.0
1998-03-03,40,31.88,33.5,31.88,33.38,9.8185,277867.0,0.0,1.0
1998-03-04,41,33.0,33.63,32.5,32.75,9.6332,136000.0,0.0,1.0
1998-03-05,42,32.88,33.0,32.38,32.5,9.5597,170067.0,0.0,1.0
1998-03-06,43,32.75,33.63,32.75,32.94,9.6891,108200.0,0.0,1.0
1998-03-09,44,33.5,33.5,32.38,32.81,9.6508,150000.0,0.0,1.0
1998-03-10,45,32.63,33.25,32.56,33.19,9.7626,25400.0,0.0,1.0
1998-03-11,46,33.0,33.63,33.0,33.63,9.892,130600.0,0.0,1.0
1998-03-12,47,33.63,35.0,33.0,35.0,10.295,322867.0,0.0,1.0
1998-03-13,48,35.0,35.0,33.88,34.13,10.0391,345600.0,0.0,1.0
1998-03-16,49,34.63,34.88,34.13,34.63,10.1862,202067.0,0.0,1.0
1998-03-17,50,34.38,34.88,34.38,34.81,10.2391,316267.0,0.0,1.0
1998-03-18,51,34.63,35.13,34.63,34.91,10.2685,157800.0,0.0,1.0
1998-03-19,52,34.69,35.0,33.75,34.0,10.0009,970267.0,0.0,1.0
1998-03-20,53,34.0,34.25,33.5,33.75,9.9273,473467.0,0.0,1.0
1998-03-23,54,33.88,34.25,33.19,33.63,9.892,95867.0,0.0,1.0
1998-03-24,55,33.88,33.88,32.56,33.09,9.7332,124667.0,0.0,1.0
1998-03-25,56,33.0,33.13,32.13,32.25,9.4861,422000.0,0.0,1.0
1998-03-26,57,32.13,32.16,31.25,31.5,9.2655,786667.0,0.0,1.0
1998-03-27,58,32.0,32.0,31.38,31.44,9.2479,135867.0,0.0,1.0
1998-03-30,59,31.63,31.94,31.45,31.63,9.3038,154200.0,0.0,1.0
1998-03-31,60,31.88,32.13,31.0,31.19,9.1743,315600.0,0.0,1.0
1998-04-01,61,31.5,31.69,31.25,31.44,9.2479,244067.0,0.0,1.0
1998-04-02,62,31.38,31.5,31.38,31.5,9.2655,267067.0,0.0,1.0
1998-04-03,63,31.5,32.0,31.25,31.38,9.2302,350600.0,0.0,1.0
1998-04-06,64,31.38,32.0,31.38,31.63,9.3038,260800.0,0.0,1.0
1998-04-07,65,31.38,31.81,31.38,31.75,9.3391,205667.0,0.0,1.0
1998-04-08,66,31.63,32.25,31.63,31.72,9.3302,208200.0,0.0,1.0
1998-04-09,67,31.75,32.0,31.5,31.63,9.3038,218600.0,0.0,1.0
1998-04-13,68,31.94,32.0,31.25,31.5,9.2655,290000.0,0.0,1.0
1998-04-14,69,31.44,31.75,31.0,31.38,9.2302,416200.0,0.0,1.0
1998-04-15,70,31.38,31.5,31.0,31.38,9.2302,105200.0,0.0,1.0
1998-04-16,71,31.5,31.63,30.63,31.0,9.1184,38067.0,0.0,1.0
1998-04-17,72,30.63,31.38,30.5,30.5,8.9714,175867.0,0.0,1.0
1998-04-20,73,31.0,31.25,30.5,30.75,9.0449,131600.0,0.0,1.0
1998-04-21,74,31.75,32.0,30.75,31.75,9.3391,256200.0,0.0,1.0
1998-04-22,75,31.84,31.88,31.5,31.84,9.3655,272867.0,0.0,1.0
1998-04-23,76,31.88,32.06,31.63,32.0,9.4126,137667.0,0.0,1.0
1998-04-24,77,32.13,32.88,32.0,32.78,9.642,144667.0,0.0,1.0
1998-04-27,78,32.5,33.25,32.25,32.63,9.5979,305400.0,0.0,1.0
1998-04-28,79,32.56,32.88,32.19,32.41,9.5332,95267.0,0.0,1.0
1998-04-29,80,32.25,32.88,32.25,32.78,9.642,73867.0,0.0,1.0
