date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,29.06,29.31,28.38,29.13,3.742,531900.0,0.0,1.0
1998-01-05,29.13,29.25,27.88,28.25,3.629,1232500.0,0.0,1.0
1998-01-06,27.88,27.88,26.94,27.06,3.4761,1538800.0,0.0,1.0
1998-01-07,26.88,27.75,26.63,27.0,3.4684,1080900.0,0.0,1.0
1998-01-08,26.5,26.75,25.75,25.94,3.3322,976500.0,0.0,1.0
1998-01-09,25.88,26.94,25.75,26.0,3.34,1748700.0,0.0,1.0
1998-01-12,25.13,26.44,25.06,26.13,3.3567,958400.0,0.0,1.0
1998-01-13,25.88,26.38,25.75,26.13,3.3567,895600.0,0.0,1.0
1998-01-14,26.19,26.81,25.56,26.13,3.3567,681000.0,0.0,1.0
1998-01-15,26.0,26.88,25.75,26.75,3.4363,1578200.0,0.0,1.0
1998-01-16,26.63,27.0,26.56,26.94,3.4607,556500.0,0.0,1.0
1998-01-20,26.88,27.75,26.75,27.75,3.5648,704100.0,0.0,1.0
1998-01-21,27.5,27.5,27.19,27.38,3.5172,424900.0,0.0,1.0
1998-01-22,27.38,27.44,27.0,27.13,3.4851,514100.0,0.0,1.0
1998-01-23,27.0,27.13,26.56,26.75,3.4363,596100.0,0.0,1.0
1998-01-26,26.5,26.94,26.38,26.63,3.4209,444100.0,0.0,1.0
1998-01-27,26.25,26.63,26.0,26.56,3.4119,849500.0,0.0,1.0
1998-01-28,26.5,27.38,26.38,27.38,3.5172,976600.0,0.0,1.0
1998-01-29,27.13,28.06,27.0,27.44,3.5249,771100.0,0.0,1.0
1998-01-30,27.25,27.38,26.94,27.31,3.5082,1496900.0,0.0,1.0
1998-02-02,27.56,28.5,27.56,27.88,3.5815,974500.0,0.0,1.0
1998-02-03,27.63,27.75,27.5,27.63,3.5493,735000.0,0.0,1.0
1998-02-04,27.5,28.5,27.38,28.38,3.6457,943700.0,0.0,1.0
1998-02-05,28.06,28.38,27.88,28.0,3.5969,553900.0,0.0,1.0
1998-02-06,27.75,28.75,27.75,28.69,3.6855,490900.0,0.0,1.0
1998-02-09,28.25,28.5,27.81,28.25,3.629,383200.0,0.0,1.0
1998-02-10,28.13,28.63,27.75,28.44,3.6534,357200.0,0.0,1.0
1998-02-11,28.25,28.31,27.69,28.19,3.6213,518400.0,0.0,1.0
1998-02-12,28.13,28.38,27.25,27.5,3.5326,1149400.0,0.0,1.0
1998-02-13,27.5,29.0,27.0,27.25,3.5005,1483100.0,0.0,1.0
1998-02-17,26.0,26.69,26.0,26.69,3.4286,1135300.0,0.0,1.0
1998-02-18,26.38,26.5,26.0,26.13,3.3567,1310600.0,0.0,1.0
1998-02-19,26.13,27.63,26.06,27.06,3.4761,1097300.0,0.0,1.0
1998-02-20,27.31,27.31,26.56,26.75,3.4363,441300.0,0.0,1.0
1998-02-23,27.13,27.13,26.5,26.63,3.4209,574500.0,0.0,1.0
1998-02-24,26.5,27.44,26.5,27.13,3.4851,531900.0,0.0,1.0
1998-02-25,27.0,27.25,26.81,27.0,3.4684,396500.0,0.0,1.0
1998-02-26,27.0,28.25,26.94,27.94,3.5892,730600.0,0.0,1.0
1998-02-27,28.0,28.5,27.94,28.5,3.6611,511200.0,0.0,1.0
1998-03-02,28.38,29.5,28.31,29.44,3.7819,773000.0,0.0,1.0
1998-03-03,28.94,29.63,28.75,29.5,3.7896,504300.0,0.0,1.0
1998-03-04,29.25,30.0,29.19,30.0,3.8538,450500.0,0.0,1.0
1998-03-05,29.5,30.0,29.13,30.0,3.8538,577600.0,0.0,1.0
1998-03-06,29.88,29.94,29.0,29.5,3.7896,566000.0,0.0,1.0
1998-03-09,29.38,29.5,28.38,28.75,3.6932,415100.0,0.0,1.0
1998-03-10,28.63,29.25,28.56,29.19,3.7497,430600.0,0.0,1.0
1998-03-11,29.44,29.75,29.13,29.69,3.814,594200.0,0.0,1.0
1998-03-12,29.75,30.31,29.69,29.75,3.8217,883500.0,0.0,1.0
1998-03-13,29.88,30.13,29.69,29.69,3.814,561700.0,0.0,1.0
1998-03-16,29.75,30.06,29.56,29.81,3.8294,581300.0,0.0,1.0
1998-03-17,29.69,30.0,29.63,29.88,3.8384,605100.0,0.0,1.0
1998-03-18,29.63,29.81,29.13,29.19,3.7497,470700.0,0.0,1.0
1998-03-19,29.13,29.75,29.0,29.56,3.7973,1394200.0,0.0,1.0
1998-03-20,29.75,31.0,29.56,30.63,3.9347,516300.0,0.0,1.0
1998-03-23,30.13,30.25,29.81,29.88,3.8384,415900.0,0.0,1.0
1998-03-24,29.88,30.75,29.75,30.63,3.9347,499300.0,0.0,1.0
1998-03-25,30.5,31.5,30.44,30.56,3.9257,794800.0,0.0,1.0
1998-03-26,30.75,30.75,30.06,30.06,3.8615,377300.0,0.0,1.0
1998-03-27,30.25,30.5,29.63,30.06,3.8615,431300.0,0.0,1.0
1998-03-30,30.0,30.06,29.5,29.56,3.7973,669000.0,0.0,1.0
1998-03-31,29.56,30.25,29.56,30.06,3.8615,467200.0,0.0,1.0
1998-04-01,30.06,31.5,30.06,31.5,4.0465,426000.0,0.0,1.0
1998-04-02,31.25,32.19,31.0,31.44,4.0388,757500.0,0.0,1.0
1998-04-03,31.44,32.25,31.25,32.25,4.1428,489300.0,0.0,1.0
1998-04-06,32.19,32.19,31.25,31.44,4.0388,405500.0,0.0,1.0
1998-04-07,31.13,31.25,30.13,30.38,3.9026,375900.0,0.0,1.0
1998-04-08,30.19,30.88,29.88,30.06,3.8615,315800.0,0.0,1.0
1998-04-09,30.13,31.0,30.0,30.75,3.9501,264800.0,0.0,1.0
1998-04-13,30.56,30.69,30.25,30.63,3.9347,297600.0,0.0,1.0
1998-04-14,30.75,30.75,30.44,30.63,3.9347,432300.0,0.0,1.0
1998-04-15,30.5,32.0,30.5,31.69,4.0709,360200.0,0.0,1.0
1998-04-16,31.69,31.75,30.88,31.38,4.0311,344800.0,0.0,1.0
1998-04-17,31.5,31.63,30.88,31.44,4.0388,243300.0,0.0,1.0
1998-04-20,31.25,31.69,31.0,31.63,4.0632,260000.0,0.0,1.0
1998-04-21,31.38,31.5,31.06,31.44,4.0388,261800.0,0.0,1.0
1998-04-22,31.25,33.0,31.25,32.81,4.2148,413100.0,0.0,1.0
1998-04-23,32.69,33.0,32.5,32.75,4.2071,572600.0,0.0,1.0
1998-04-24,32.56,32.88,32.13,32.38,4.1595,436600.0,0.0,1.0
1998-04-27,31.63,31.63,30.5,31.19,4.0067,737700.0,0.0,1.0
1998-04-28,31.31,31.5,30.75,31.0,3.9823,685600.0,0.0,1.0
1998-04-29,31.25,31.63,31.13,31.38,4.0311,464400.0,0.0,1.0
1998-04-30,31.63,32.06,31.38,31.75,4.0786,417600.0,0.0,1.0
1998-05-01,31.75,31.75,31.13,31.38,4.0311,261200.0,0.0,1.0
1998-05-04,31.31,31.56,30.88,31.0,3.9823,271200.0,0.0,1.0
1998-05-05,30.75,31.25,30.5,31.13,3.999,434100.0,0.0,1.0
1998-05-06,30.94,31.44,30.69,30.88,3.9668,543300.0,0.0,1.0
1998-05-07,30.81,30.81,30.13,30.13,3.8705,269600.0,0.0,1.0
1998-05-08,30.13,30.5,30.13,30.25,3.8859,332500.0,0.0,1.0
1998-05-11,30.19,30.56,30.19,30.31,3.8936,348000.0,0.0,1.0
1998-05-12,30.38,30.88,30.31,30.88,3.9668,204800.0,0.0,1.0
1998-05-13,30.75,31.31,30.63,31.0,3.9823,204300.0,0.0,1.0
1998-05-14,30.88,31.38,30.88,31.25,4.0144,266000.0,0.0,1.0
1998-05-15,31.25,31.75,31.06,31.56,4.0542,418500.0,0.0,1.0
1998-05-18,31.5,31.88,31.5,31.81,4.0863,497600.0,0.0,1.0
1998-05-19,31.63,32.25,31.63,32.06,4.1184,368200.0,0.0,1.0
1998-05-20,32.0,32.19,31.56,31.63,4.0632,820300.0,0.0,1.0
1998-05-21,31.63,31.75,31.0,31.19,4.0067,274500.0,0.0,1.0
1998-05-22,31.0,31.5,30.75,31.06,3.99,273900.0,0.0,1.0
1998-05-26,31.25,31.25,30.88,30.88,3.9668,325600.0,0.0,1.0
1998-05-27,30.56,30.75,29.88,30.19,3.8782,302100.0,0.0,1.0
1998-05-28,30.19,30.94,30.19,30.94,3.9745,552600.0,0.0,1.0
1998-05-29,30.88,31.44,30.88,31.06,3.99,300100.0,0.0,1.0
1998-06-01,31.06,32.31,31.0,32.19,4.1351,403200.0,0.0,1.0
1998-06-02,32.19,33.06,31.5,32.75,4.2071,452200.0,0.0,1.0
1998-06-03,32.75,32.81,32.25,32.38,4.1595,309600.0,0.0,1.0
1998-06-04,32.25,32.63,31.94,32.25,4.1428,639000.0,0.0,1.0
