date,Unnamed:_0,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2013-02-01,0,31.5,31.74,30.47,31.01,29.5084,66789100.0,0.0,1.0
2013-02-04,1,31.09,31.99,30.76,31.02,29.5179,7695400.0,0.0,1.0
2013-02-05,2,31.25,31.98,30.85,31.04,29.537,5013200.0,0.0,1.0
2013-02-06,3,30.98,31.43,30.75,31.03,29.5275,2126100.0,0.0,1.0
2013-02-07,4,31.0,32.73,31.0,32.0,30.4505,3800800.0,0.0,1.0
2013-02-08,5,32.31,33.48,32.3,33.05,31.4496,2599300.0,0.0,1.0
2013-02-11,6,33.06,33.5,32.88,33.26,31.6495,1487200.0,0.0,1.0
2013-02-12,7,33.4,34.0,33.15,33.74,32.1062,1637300.0,0.0,1.0
2013-02-13,8,33.8,33.8,33.0,33.55,31.9254,1269700.0,0.0,1.0
2013-02-14,9,33.39,33.45,32.77,33.27,31.659,2954500.0,0.0,1.0
2013-02-15,10,33.31,34.09,33.0,33.98,32.3346,5415400.0,0.0,1.0
2013-02-19,11,34.02,34.07,33.57,33.84,32.2014,1206900.0,0.0,1.0
2013-02-20,12,33.84,33.88,32.6,32.72,31.1356,1842900.0,0.0,1.0
2013-02-21,13,32.5,32.8,31.86,32.56,30.9834,3242300.0,0.0,1.0
2013-02-22,14,32.78,32.93,32.5,32.59,31.0119,954500.0,0.0,1.0
2013-02-25,15,32.68,32.69,32.0,32.07,30.5171,818900.0,0.0,1.0
2013-02-26,16,32.05,32.4,31.99,32.04,30.4885,1048700.0,0.0,1.0
2013-02-27,17,32.0,33.05,32.0,32.32,30.755,1343600.0,0.0,1.0
2013-02-28,18,32.56,33.55,32.56,33.45,31.8303,2991400.0,0.0,1.0
2013-03-01,19,33.36,34.7,33.15,34.6,32.9246,2334000.0,0.0,1.0
2013-03-04,20,34.8,34.89,34.235,34.35,32.6867,865400.0,0.0,1.0
2013-03-05,21,34.41,34.48,33.75,34.29,32.6296,1413400.0,0.0,1.0
2013-03-06,22,34.34,34.38,33.85,33.85,32.2109,802000.0,0.0,1.0
2013-03-07,23,33.95,34.68,33.56,34.56,32.8865,1320000.0,0.0,1.0
2013-03-08,24,34.03,34.69,33.8,34.09,32.4393,1541100.0,0.0,1.0
2013-03-11,25,33.97,34.26,33.25,34.18,32.5249,1729400.0,0.0,1.0
2013-03-12,26,34.12,34.245,33.6,33.82,32.1824,1557600.0,0.0,1.0
2013-03-13,27,33.9,34.06,33.08,34.0,32.3536,2240800.0,0.0,1.0
2013-03-14,28,34.33,35.42,34.2978,34.64,32.9626,1865200.0,0.0,1.0
2013-03-15,29,34.7,34.84,33.31,33.44,31.8208,2692100.0,0.0,1.0
2013-03-18,30,32.75,32.94,32.64,32.84,31.2498,2372000.0,0.0,1.0
2013-03-19,31,32.8,33.42,32.3276,32.8,31.2117,1336200.0,0.0,1.0
2013-03-20,32,32.9,33.54,32.5,33.51,31.8874,1944000.0,0.0,1.0
2013-03-21,33,33.9,34.0,33.29,33.47,31.8493,514500.0,0.0,1.0
2013-03-22,34,33.55,33.75,32.735,33.12,31.5163,763300.0,0.0,1.0
2013-03-25,35,33.48,33.48,32.25,32.46,30.8882,1324600.0,0.0,1.0
2013-03-26,36,32.73,32.79,32.0,32.51,30.9358,1396500.0,0.0,1.0
2013-03-27,37,32.38,32.89,32.0601,32.74,31.1547,1896800.0,0.0,1.0
2013-03-28,38,32.85,33.5,32.63,33.4,31.7827,7434900.0,0.0,1.0
2013-04-01,39,33.42,33.59,32.43,32.59,31.0119,1466300.0,0.0,1.0
2013-04-02,40,32.66,33.13,32.46,32.55,30.9739,712200.0,0.0,1.0
2013-04-03,41,32.67,32.98,32.36,32.53,30.9548,1409700.0,0.0,1.0
2013-04-04,42,32.41,32.5,31.71,31.84,30.2982,1946400.0,0.0,1.0
2013-04-05,43,31.73,32.07,30.57,31.96,30.4124,3963500.0,0.0,1.0
2013-04-08,44,31.95,32.98,31.77,32.92,31.3259,1965200.0,0.0,1.0
2013-04-09,45,33.05,33.5899,32.56,33.44,31.8208,2004400.0,0.0,1.0
2013-04-10,46,33.76,33.76,32.98,33.15,31.5448,969500.0,0.0,1.0
2013-04-11,47,33.22,33.24,32.87,33.16,31.5543,1826600.0,0.0,1.0
2013-04-12,48,32.97,33.35,32.6,33.23,31.6209,723500.0,0.0,1.0
2013-04-15,49,33.07,33.23,32.17,32.24,30.6789,839500.0,0.0,1.0
2013-04-16,50,32.36,33.37,32.29,33.21,31.6019,2271200.0,0.0,1.0
2013-04-17,51,32.98,33.23,32.17,32.89,31.2974,3140500.0,0.0,1.0
2013-04-18,52,33.1,33.1,32.38,32.47,30.8977,799900.0,0.0,1.0
2013-04-19,53,32.71,32.79,31.81,32.71,31.1261,2159300.0,0.0,1.0
2013-04-22,54,32.9,32.9,32.22,32.66,31.0785,922100.0,0.0,1.0
2013-04-23,55,32.78,32.96,31.5,31.7,30.165,2731700.0,0.0,1.0
2013-04-24,56,31.63,31.69,30.42,30.62,29.1373,4149300.0,0.0,1.0
2013-04-25,57,30.93,31.99,30.75,31.55,30.0223,1520600.0,0.0,1.0
2013-04-26,58,31.61,32.68,31.61,32.64,31.0595,1421800.0,0.0,1.0
2013-04-29,59,32.95,32.95,32.17,32.66,31.1404,1711600.0,0.065,1.0
2013-04-30,60,33.68,34.74,32.93,33.02,31.4836,3390300.0,0.0,1.0
2013-05-01,61,32.97,33.51,32.66,33.39,31.8364,1393100.0,0.0,1.0
2013-05-02,62,33.38,33.87,33.11,33.28,31.7315,696300.0,0.0,1.0
2013-05-03,63,33.62,33.64,33.0,33.21,31.6648,998400.0,0.0,1.0
2013-05-06,64,33.35,33.49,32.75,32.94,31.4074,503700.0,0.0,1.0
