date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,25.75,25.94,25.69,25.88,9.736,30100.0,0.0,1.0
1998-01-05,25.81,25.94,25.75,25.88,9.736,36900.0,0.0,1.0
1998-01-06,25.94,25.94,25.75,25.88,9.736,68200.0,0.0,1.0
1998-01-07,25.75,25.88,25.63,25.69,9.6645,31200.0,0.0,1.0
1998-01-08,25.75,25.75,25.38,25.44,9.5705,34200.0,0.0,1.0
1998-01-09,25.56,25.56,25.0,25.06,9.4275,113800.0,0.0,1.0
1998-01-12,25.0,25.25,24.88,25.06,9.4275,52400.0,0.0,1.0
1998-01-13,25.06,25.69,25.06,25.63,9.6419,101800.0,0.0,1.0
1998-01-14,25.69,25.69,24.94,25.06,9.4275,150000.0,0.0,1.0
1998-01-15,25.13,25.31,25.13,25.25,9.499,97800.0,0.0,1.0
1998-01-16,25.5,25.69,25.25,25.31,9.5215,72700.0,0.0,1.0
1998-01-20,25.31,25.44,25.25,25.31,9.5215,287800.0,0.0,1.0
1998-01-21,25.31,25.38,25.13,25.19,9.4764,166500.0,0.0,1.0
1998-01-22,25.25,25.38,25.13,25.19,9.4764,87300.0,0.0,1.0
1998-01-23,25.25,25.25,25.13,25.13,9.4538,36900.0,0.0,1.0
1998-01-26,25.13,25.31,25.13,25.19,9.4764,215100.0,0.0,1.0
1998-01-27,25.25,25.25,24.94,24.94,9.3824,151900.0,0.0,1.0
1998-01-28,24.94,25.19,24.88,25.0,9.4049,118400.0,0.0,1.0
1998-01-29,25.19,25.25,25.0,25.19,9.4764,40600.0,0.0,1.0
1998-01-30,25.06,25.06,24.75,24.75,9.3109,43500.0,0.0,1.0
1998-02-02,24.94,25.38,24.81,25.25,9.499,59200.0,0.0,1.0
1998-02-03,25.31,25.38,24.81,24.94,9.3824,62400.0,0.0,1.0
1998-02-04,24.94,25.19,24.81,24.88,9.3598,50000.0,0.0,1.0
1998-02-05,25.0,25.13,24.75,24.94,9.3824,79700.0,0.0,1.0
1998-02-06,25.0,25.0,24.81,25.0,9.4049,123100.0,0.0,1.0
1998-02-09,25.0,25.06,24.5,24.63,9.2657,63300.0,0.0,1.0
1998-02-10,24.63,25.0,24.63,24.94,9.3824,120900.0,0.0,1.0
1998-02-11,24.94,24.94,24.81,24.81,9.3335,78200.0,0.0,1.0
1998-02-12,24.88,25.06,24.75,24.75,9.3109,54900.0,0.0,1.0
1998-02-13,24.75,24.94,24.69,24.94,9.3824,72100.0,0.0,1.0
1998-02-17,25.0,25.0,24.75,24.81,9.3335,47100.0,0.0,1.0
1998-02-18,24.75,24.88,24.63,24.81,9.3335,72500.0,0.0,1.0
