date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,52.06,52.06,51.56,51.69,5.2304,20500.0,0.0,1.0
1998-01-05,51.5,51.63,51.25,51.63,5.2243,74400.0,0.0,1.0
1998-01-06,51.5,52.13,51.5,51.81,5.2425,39500.0,0.0,1.0
1998-01-07,51.69,52.0,51.56,52.0,5.2618,18600.0,0.0,1.0
1998-01-08,52.25,52.25,51.22,51.31,5.1919,35600.0,0.0,1.0
1998-01-09,51.25,51.25,49.63,49.63,5.0219,43700.0,0.0,1.0
1998-01-12,49.38,49.94,48.94,49.63,5.0219,33600.0,0.0,1.0
1998-01-13,49.75,51.0,49.75,50.88,5.1484,30500.0,0.0,1.0
1998-01-14,50.63,51.75,50.25,51.69,5.2304,20700.0,0.0,1.0
1998-01-15,51.56,52.75,51.56,52.69,5.3316,44700.0,0.0,1.0
1998-01-16,52.75,53.25,52.31,52.44,5.3063,89300.0,0.0,1.0
1998-01-20,52.63,53.88,52.38,53.19,5.3822,105500.0,0.0,1.0
1998-01-21,53.19,53.94,53.19,53.81,5.4449,24100.0,0.0,1.0
1998-01-22,53.56,53.56,52.13,52.44,5.3063,23200.0,0.0,1.0
1998-01-23,52.69,53.31,51.69,53.31,5.3943,62100.0,0.0,1.0
1998-01-26,53.25,53.5,52.63,52.88,5.3508,23300.0,0.0,1.0
1998-01-27,52.94,54.13,52.75,53.88,5.452,80400.0,0.0,1.0
1998-01-28,54.25,54.38,53.94,54.25,5.4894,38200.0,0.0,1.0
1998-01-29,54.0,54.0,52.88,53.13,5.3913,71200.0,0.15,1.0
1998-01-30,53.13,54.38,53.13,53.56,5.4349,79000.0,0.0,1.0
1998-02-02,53.69,54.63,53.69,54.63,5.5435,51600.0,0.0,1.0
1998-02-03,54.5,54.56,54.25,54.44,5.5242,188400.0,0.0,1.0
1998-02-04,54.5,54.5,53.88,54.0,5.4796,85600.0,0.0,1.0
1998-02-05,53.88,54.19,53.25,53.25,5.4035,207600.0,0.0,1.0
1998-02-06,53.38,53.63,52.75,52.81,5.3588,56800.0,0.0,1.0
1998-02-09,52.81,53.5,52.81,53.5,5.4288,84700.0,0.0,1.0
1998-02-10,53.38,53.75,53.38,53.56,5.4349,47800.0,0.0,1.0
1998-02-11,53.5,55.0,53.5,54.69,5.5496,69100.0,0.0,1.0
1998-02-12,54.69,55.0,54.25,54.88,5.5689,38300.0,0.0,1.0
1998-02-13,54.63,55.13,54.5,55.0,5.581,19100.0,0.0,1.0
1998-02-17,55.25,55.81,55.0,55.38,5.6196,41900.0,0.0,1.0
1998-02-18,55.5,56.06,55.44,55.63,5.645,37700.0,0.0,1.0
1998-02-19,55.75,57.0,55.69,56.63,5.7464,60000.0,0.0,1.0
1998-02-20,56.88,57.25,56.0,57.13,5.7972,91000.0,0.0,1.0
1998-02-23,57.38,58.31,57.38,57.88,5.8733,39800.0,0.0,1.0
1998-02-24,57.88,58.75,57.63,58.75,5.9616,54100.0,0.0,1.0
1998-02-25,59.13,59.75,58.56,58.63,5.9494,94600.0,0.0,1.0
1998-02-26,58.75,60.13,58.75,59.38,6.0255,58700.0,0.0,1.0
1998-02-27,59.5,59.63,58.63,58.63,5.9494,50000.0,0.0,1.0
1998-03-02,58.69,60.25,58.69,60.06,6.0945,30900.0,0.0,1.0
1998-03-03,59.56,60.25,59.56,60.13,6.1016,233500.0,0.0,1.0
1998-03-04,60.13,61.25,59.88,60.88,6.1777,93600.0,0.0,1.0
1998-03-05,60.63,60.75,59.44,59.44,6.0316,57000.0,0.0,1.0
1998-03-06,59.63,62.0,59.63,61.0,6.1899,68100.0,0.0,1.0
1998-03-09,61.06,63.44,61.06,61.94,6.2853,84300.0,0.0,1.0
1998-03-10,61.94,62.31,61.31,61.31,6.2213,40600.0,0.0,1.0
1998-03-11,61.38,61.44,61.13,61.25,6.2152,32700.0,0.0,1.0
1998-03-12,61.38,61.38,61.13,61.38,6.2284,96000.0,0.0,1.0
1998-03-13,61.13,61.44,61.13,61.38,6.2284,32100.0,0.0,1.0
1998-03-16,61.38,61.44,61.25,61.25,6.2152,43000.0,0.0,1.0
1998-03-17,61.38,61.38,60.81,60.88,6.1777,26800.0,0.0,1.0
1998-03-18,60.94,62.0,60.88,62.0,6.2913,74200.0,0.0,1.0
1998-03-19,61.94,62.44,61.88,62.19,6.3106,56100.0,0.0,1.0
1998-03-20,62.44,63.5,62.25,63.13,6.406,82800.0,0.0,1.0
1998-03-23,63.38,64.13,63.19,64.06,6.5004,54800.0,0.0,1.0
1998-03-24,64.5,65.13,64.25,64.38,6.5329,91100.0,0.0,1.0
1998-03-25,65.0,65.25,63.5,63.88,6.4821,96500.0,0.0,1.0
1998-03-26,63.63,64.44,63.63,63.88,6.4821,85200.0,0.0,1.0
1998-03-27,64.38,65.13,64.38,64.5,6.545,74800.0,0.0,1.0
1998-03-30,64.56,64.69,63.38,63.44,6.4375,47500.0,0.0,1.0
1998-03-31,63.5,65.06,63.0,64.13,6.5075,70500.0,0.0,1.0
1998-04-01,64.5,65.75,64.13,65.75,6.6719,112200.0,0.0,1.0
1998-04-02,65.88,66.13,65.06,65.38,6.6343,34100.0,0.0,1.0
1998-04-03,65.25,65.38,64.0,64.5,6.545,25800.0,0.0,1.0
1998-04-06,64.75,65.75,64.63,65.38,6.6343,42400.0,0.0,1.0
1998-04-07,65.13,65.13,64.0,64.5,6.545,36900.0,0.0,1.0
1998-04-08,64.5,66.38,64.5,64.94,6.5897,58300.0,0.0,1.0
1998-04-09,65.19,67.75,65.19,66.94,6.7926,64100.0,0.0,1.0
1998-04-13,66.88,66.88,64.69,64.75,6.5704,55200.0,0.0,1.0
1998-04-14,64.63,66.75,64.63,66.5,6.748,96100.0,0.0,1.0
1998-04-15,66.75,68.0,66.75,68.0,6.9002,61000.0,0.0,1.0
1998-04-16,67.75,67.75,65.69,65.88,6.6851,37900.0,0.0,1.0
1998-04-17,66.13,66.13,64.69,64.69,6.5643,41000.0,0.0,1.0
1998-04-20,64.94,65.81,64.81,65.75,6.6719,34300.0,0.0,1.0
1998-04-21,66.0,67.63,66.0,67.56,6.8555,56200.0,0.0,1.0
1998-04-22,67.69,67.94,67.31,67.75,6.8748,81200.0,0.0,1.0
1998-04-23,67.75,68.13,67.5,68.13,6.9134,61400.0,0.0,1.0
1998-04-24,68.13,68.38,67.0,67.0,6.7987,68600.0,0.0,1.0
1998-04-27,65.75,65.88,63.0,63.81,6.475,68800.0,0.0,1.0
1998-04-28,64.0,65.75,64.0,65.25,6.6211,40600.0,0.0,1.0
1998-04-29,64.81,64.81,60.88,61.0,6.2051,383900.0,0.15,1.0
1998-04-30,60.94,62.38,60.94,62.19,6.3261,123700.0,0.0,1.0
1998-05-01,62.38,63.31,62.0,62.88,6.3963,76200.0,0.0,1.0
1998-05-04,62.88,62.88,61.75,61.75,6.2814,80300.0,0.0,1.0
1998-05-05,61.81,61.81,60.0,60.0,6.1034,58600.0,0.0,1.0
1998-05-06,60.13,60.5,58.81,59.06,6.0078,124200.0,0.0,1.0
1998-05-07,59.13,60.13,59.06,60.13,6.1166,143200.0,0.0,1.0
1998-05-08,60.0,61.75,60.0,61.25,6.2305,118500.0,0.0,1.0
1998-05-11,61.13,61.38,59.94,59.94,6.0973,209000.0,0.0,1.0
1998-05-12,60.0,60.0,58.25,59.25,6.0271,113100.0,0.0,1.0
1998-05-13,59.31,59.47,59.06,59.19,6.021,118900.0,0.0,1.0
1998-05-14,59.31,59.31,58.44,58.5,5.9508,132600.0,0.0,1.0
1998-05-15,58.5,58.75,58.31,58.31,5.9315,51500.0,0.0,1.0
1998-05-18,58.38,58.56,58.0,58.38,5.9386,23700.0,0.0,1.0
1998-05-19,58.63,59.0,58.44,58.81,5.9823,27900.0,0.0,1.0
1998-05-20,58.0,58.0,58.0,58.0,5.8999,18800.0,0.0,1.0
1998-05-21,57.88,58.13,57.5,58.0,5.8999,91600.0,0.0,1.0
1998-05-22,58.25,58.25,57.38,57.44,5.843,226700.0,0.0,1.0
1998-05-26,57.44,57.44,56.19,56.19,5.7158,108200.0,0.0,1.0
1998-05-27,55.94,56.19,55.63,56.0,5.6965,207300.0,0.0,1.0
1998-05-28,55.88,57.5,55.88,57.13,5.8114,50900.0,0.0,1.0
1998-05-29,57.0,57.44,57.0,57.0,5.7982,41700.0,0.0,1.0
1998-06-01,57.0,57.56,57.0,57.25,5.8236,37700.0,0.0,1.0
1998-06-02,57.25,57.75,57.0,57.56,5.8552,113800.0,0.0,1.0
1998-06-03,57.63,57.88,57.38,57.44,5.843,64200.0,0.0,1.0
1998-06-04,49.5,49.88,47.44,47.5,4.8318,1011700.0,0.0,1.0
1998-06-05,47.5,50.0,47.5,49.88,5.0739,473000.0,0.0,1.0
1998-06-08,49.94,49.94,49.0,49.88,5.0739,126400.0,0.0,1.0
1998-06-09,49.75,49.75,48.0,49.0,4.9844,95600.0,0.0,1.0
1998-06-10,49.0,49.0,47.0,47.0,4.781,125800.0,0.0,1.0
1998-06-11,47.38,47.38,45.88,46.25,4.7047,317100.0,0.0,1.0
1998-06-12,46.0,46.38,45.06,45.13,4.5908,209400.0,0.0,1.0
1998-06-15,45.06,46.0,44.38,44.44,4.5206,91100.0,0.0,1.0
1998-06-16,44.63,45.5,44.5,44.63,4.5399,229900.0,0.0,1.0
1998-06-17,45.0,46.0,45.0,45.94,4.6731,186000.0,0.0,1.0
1998-06-18,45.75,46.0,45.13,45.25,4.603,142800.0,0.0,1.0
1998-06-19,44.5,44.63,43.63,44.0,4.4758,139200.0,0.0,1.0
1998-06-22,44.25,44.31,43.75,43.94,4.4697,173200.0,0.0,1.0
1998-06-23,43.88,43.94,43.69,43.69,4.4443,107300.0,0.0,1.0
1998-06-24,43.63,44.06,43.25,43.75,4.4504,122100.0,0.0,1.0
1998-06-25,43.5,46.0,43.5,45.38,4.6162,295000.0,0.0,1.0
1998-06-26,44.75,45.13,44.5,44.69,4.546,63500.0,0.0,1.0
1998-06-29,46.0,47.75,46.0,47.0,4.781,340100.0,0.0,1.0
1998-06-30,47.0,48.06,47.0,48.06,4.8888,195800.0,0.0,1.0
1998-07-01,48.06,49.0,48.06,48.81,4.9651,79000.0,0.0,1.0
1998-07-02,48.63,48.69,48.38,48.5,4.9336,57800.0,0.0,1.0
1998-07-06,48.56,48.63,48.13,48.5,4.9336,37800.0,0.0,1.0
1998-07-07,48.5,49.25,48.5,49.0,4.9844,24900.0,0.0,1.0
1998-07-08,48.88,48.88,48.06,48.19,4.902,54400.0,0.0,1.0
1998-07-09,48.19,48.19,47.75,47.75,4.8573,41200.0,0.0,1.0
1998-07-10,48.13,48.63,48.13,48.5,4.9336,71100.0,0.0,1.0
1998-07-13,48.38,49.13,48.25,48.69,4.9529,61400.0,0.0,1.0
1998-07-14,48.5,50.5,48.13,50.25,5.1116,124800.0,0.0,1.0
1998-07-15,52.13,52.13,50.0,50.63,5.1502,163500.0,0.0,1.0
1998-07-16,51.0,51.25,50.56,51.13,5.2011,82300.0,0.0,1.0
1998-07-17,51.38,51.75,51.25,51.31,5.2194,50000.0,0.0,1.0
1998-07-20,51.31,52.0,51.13,51.56,5.2448,95100.0,0.0,1.0
1998-07-21,51.56,51.81,50.0,50.0,5.0861,33300.0,0.0,1.0
1998-07-22,49.88,49.94,47.88,48.5,4.9336,90900.0,0.0,1.0
1998-07-23,48.75,48.75,47.75,47.75,4.8573,90400.0,0.0,1.0
1998-07-24,47.75,47.81,46.56,47.38,4.8196,106700.0,0.0,1.0
1998-07-27,47.13,48.44,46.75,48.38,4.9214,51400.0,0.0,1.0
1998-07-28,47.81,47.81,46.81,47.5,4.8318,77400.0,0.0,1.0
1998-07-29,48.0,49.94,48.0,48.19,4.902,137100.0,0.0,1.0
1998-07-30,48.0,49.0,48.0,48.56,4.9549,48400.0,0.15,1.0
1998-07-31,47.5,47.69,47.0,47.06,4.8019,111800.0,0.0,1.0
1998-08-03,47.0,47.0,46.31,46.31,4.7253,77400.0,0.0,1.0
1998-08-04,46.25,46.5,45.63,45.63,4.656,74500.0,0.0,1.0
1998-08-05,45.63,45.63,43.69,44.13,4.5029,102800.0,0.0,1.0
1998-08-06,44.31,44.5,44.0,44.19,4.509,330400.0,0.0,1.0
1998-08-07,44.38,44.94,43.5,43.69,4.458,120400.0,0.0,1.0
1998-08-10,43.88,43.88,42.44,42.5,4.3366,78200.0,0.0,1.0
1998-08-11,42.13,43.94,41.81,43.81,4.4702,720600.0,0.0,1.0
1998-08-12,42.13,45.25,41.81,45.25,4.6172,48300.0,0.0,1.0
1998-08-13,45.0,45.0,42.81,43.13,4.4009,45900.0,0.0,1.0
1998-08-14,43.25,44.06,42.94,43.06,4.3937,32900.0,0.0,1.0
1998-08-17,43.0,43.25,42.75,43.19,4.407,25700.0,0.0,1.0
1998-08-18,43.38,44.69,43.38,44.63,4.5539,16200.0,0.0,1.0
1998-08-19,44.88,44.88,43.63,43.69,4.458,28500.0,0.0,1.0
1998-08-20,43.88,43.88,43.25,43.63,4.4519,127400.0,0.0,1.0
1998-08-21,43.63,43.69,42.88,43.44,4.4325,56900.0,0.0,1.0
1998-08-24,43.5,44.31,43.5,43.56,4.4447,92500.0,0.0,1.0
1998-08-25,43.81,43.94,43.63,43.69,4.458,45100.0,0.0,1.0
1998-08-26,43.5,44.25,43.5,44.19,4.509,79600.0,0.0,1.0
1998-08-27,43.94,43.94,43.13,43.44,4.4325,165200.0,0.0,1.0
1998-08-28,43.44,43.44,42.44,42.75,4.3621,157200.0,0.0,1.0
1998-08-31,42.75,43.0,40.5,40.5,4.1325,102600.0,0.0,1.0
1998-09-01,40.5,42.69,40.25,42.69,4.356,223800.0,0.0,1.0
1998-09-02,42.94,44.0,42.94,43.94,4.4835,59900.0,0.0,1.0
1998-09-03,43.69,43.88,43.38,43.56,4.4447,75000.0,0.0,1.0
1998-09-04,43.63,44.0,43.44,44.0,4.4896,54000.0,0.0,1.0
1998-09-08,44.25,45.13,44.25,44.81,4.5723,38100.0,0.0,1.0
1998-09-09,44.75,44.75,42.56,43.06,4.3937,71600.0,0.0,1.0
1998-09-10,43.06,43.06,41.88,42.38,4.3243,81700.0,0.0,1.0
1998-09-11,42.5,43.0,42.5,42.88,4.3754,53200.0,0.0,1.0
1998-09-14,42.88,44.0,42.81,42.88,4.3754,41700.0,0.0,1.0
1998-09-15,42.63,43.81,42.25,43.25,4.4131,67200.0,0.0,1.0
1998-09-16,43.0,43.06,41.88,42.19,4.3049,62500.0,0.0,1.0
1998-09-17,41.5,42.75,40.75,40.75,4.158,105900.0,0.0,1.0
1998-09-18,41.0,41.13,40.63,41.0,4.1835,86600.0,0.0,1.0
1998-09-21,41.0,41.0,40.44,40.63,4.1458,32900.0,0.0,1.0
1998-09-22,40.63,40.63,39.5,39.88,4.0692,113900.0,0.0,1.0
1998-09-23,39.94,40.0,39.5,39.94,4.0754,84500.0,0.0,1.0
1998-09-24,40.0,40.25,39.81,39.94,4.0754,193100.0,0.0,1.0
1998-09-25,39.94,40.0,39.88,39.88,4.0692,62000.0,0.0,1.0
1998-09-28,39.88,39.88,39.5,39.56,4.0366,52700.0,0.0,1.0
1998-09-29,39.44,39.56,38.44,38.44,3.9223,190500.0,0.0,1.0
1998-09-30,38.0,38.13,36.44,37.06,3.7815,99900.0,0.0,1.0
1998-10-01,37.06,37.19,33.06,33.31,3.3989,168400.0,0.0,1.0
1998-10-02,33.5,35.5,33.5,35.06,3.5774,79400.0,0.0,1.0
1998-10-05,34.81,36.0,33.5,36.0,3.6733,61700.0,0.0,1.0
1998-10-06,36.25,36.63,35.5,35.63,3.6356,55800.0,0.0,1.0
1998-10-07,35.5,36.5,35.25,36.5,3.7244,45200.0,0.0,1.0
1998-10-08,36.25,36.25,33.88,34.5,3.5203,63300.0,0.0,1.0
1998-10-09,34.63,34.69,33.56,34.5,3.5203,104400.0,0.0,1.0
1998-10-12,34.63,35.44,34.63,35.31,3.6029,32400.0,0.0,1.0
1998-10-13,35.25,36.0,35.25,36.0,3.6733,45200.0,0.0,1.0
1998-10-14,36.69,37.44,36.5,36.75,3.7499,69100.0,0.0,1.0
1998-10-15,36.63,37.44,36.31,37.44,3.8203,32000.0,0.0,1.0
1998-10-16,38.0,40.63,38.0,40.56,4.1386,61300.0,0.0,1.0
1998-10-19,40.38,41.69,39.0,39.81,4.0621,67900.0,0.0,1.0
1998-10-20,39.75,40.94,39.75,40.81,4.1641,31200.0,0.0,1.0
1998-10-21,41.06,41.25,40.31,41.0,4.1835,17300.0,0.0,1.0
1998-10-22,41.25,43.63,41.25,42.38,4.3243,48900.0,0.0,1.0
1998-10-23,42.63,43.56,42.56,43.5,4.4386,82300.0,0.0,1.0
1998-10-26,44.25,46.5,43.88,46.5,4.7447,74500.0,0.0,1.0
1998-10-27,46.63,46.63,45.63,46.06,4.6998,51700.0,0.0,1.0
1998-10-28,46.0,47.5,45.75,47.5,4.8468,68500.0,0.0,1.0
1998-10-29,47.44,47.63,47.0,47.38,4.8498,18000.0,0.15,1.0
1998-10-30,47.31,47.44,46.25,46.88,4.7986,33400.0,0.0,1.0
1998-11-02,47.13,48.75,47.0,48.5,4.9645,91100.0,0.0,1.0
1998-11-03,48.5,48.88,48.0,48.5,4.9645,50400.0,0.0,1.0
1998-11-04,48.5,49.88,48.5,49.63,5.0801,59200.0,0.0,1.0
1998-11-05,49.88,51.25,49.88,50.69,5.1886,99900.0,0.0,1.0
1998-11-06,50.88,50.88,50.0,50.06,5.1241,62200.0,0.0,1.0
1998-11-09,49.75,50.06,49.75,50.0,5.118,24300.0,0.0,1.0
1998-11-10,50.25,50.25,49.75,49.75,5.0924,14100.0,0.0,1.0
1998-11-11,49.75,49.88,48.88,49.0,5.0156,108000.0,0.0,1.0
1998-11-12,49.0,49.0,48.06,48.13,4.9266,23000.0,0.0,1.0
1998-11-13,48.13,49.25,48.13,48.56,4.9706,41500.0,0.0,1.0
1998-11-16,48.75,50.0,48.75,49.94,5.1119,60900.0,0.0,1.0
