date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,30.81,30.94,30.03,30.25,18.7309,585200.0,0.0,1.0
1998-01-05,30.75,31.0,30.63,31.0,19.1953,656800.0,0.0,1.0
1998-01-06,31.0,31.38,30.75,31.0,19.1953,539900.0,0.0,1.0
1998-01-07,31.0,31.5,30.75,31.5,19.5049,1005500.0,0.0,1.0
1998-01-08,31.06,31.13,30.31,30.75,19.0405,754700.0,0.0,1.0
1998-01-09,30.63,30.63,29.88,30.0,18.5761,630200.0,0.0,1.0
1998-01-12,29.5,30.5,29.5,30.5,18.8857,1347500.0,0.0,1.0
1998-01-13,30.88,30.88,30.5,30.75,19.0405,862100.0,0.0,1.0
1998-01-14,30.94,30.94,30.25,30.44,18.8486,883700.0,0.0,1.0
1998-01-15,30.31,30.44,30.0,30.19,18.6938,491100.0,0.0,1.0
1998-01-16,30.44,30.5,30.06,30.13,18.6566,660800.0,0.0,1.0
1998-01-20,30.13,31.5,30.13,31.5,19.5049,615300.0,0.0,1.0
1998-01-21,31.5,31.56,30.69,31.38,19.4306,983900.0,0.0,1.0
1998-01-22,31.38,31.38,30.38,31.31,19.3873,628500.0,0.0,1.0
1998-01-23,31.56,32.0,30.63,30.94,19.1582,673200.0,0.0,1.0
1998-01-26,30.94,30.94,30.0,30.31,18.7681,581600.0,0.0,1.0
1998-01-27,30.19,30.69,30.19,30.5,18.8857,521800.0,0.0,1.0
1998-01-28,30.31,32.31,30.31,31.69,19.6226,828400.0,0.0,1.0
1998-01-29,31.63,32.5,31.44,32.0,19.8145,812800.0,0.0,1.0
1998-01-30,31.75,32.31,31.44,31.56,19.5421,631400.0,0.0,1.0
1998-02-02,32.0,32.5,31.81,32.38,20.0498,493600.0,0.0,1.0
1998-02-03,31.94,33.13,31.94,33.06,20.4709,551700.0,0.0,1.0
1998-02-04,31.94,33.44,31.94,33.19,20.6752,559800.0,0.2,1.0
1998-02-05,33.38,33.5,32.56,33.0,20.5569,377200.0,0.0,1.0
1998-02-06,33.19,33.81,33.0,33.56,20.9057,495000.0,0.0,1.0
