date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,16.25,16.25,15.75,15.75,4.922,5200.0,0.0,1.0
1998-01-05,15.63,15.63,14.94,15.13,4.7283,22267.0,0.0,1.0
1998-01-06,15.13,17.25,15.0,16.37,5.1158,66867.0,0.0,1.0
1998-01-07,16.5,16.75,16.25,16.62,5.1939,52400.0,0.0,1.0
1998-01-08,16.62,16.62,16.12,16.12,5.0377,48467.0,0.0,1.0
1998-01-09,15.75,15.88,15.0,15.25,4.7658,72667.0,0.0,1.0
1998-01-12,15.0,15.75,14.75,15.06,4.7064,48000.0,0.0,1.0
1998-01-13,15.0,16.5,14.63,16.25,5.0783,106867.0,0.0,1.0
1998-01-14,16.12,19.25,16.12,18.5,5.7814,381000.0,0.0,1.0
1998-01-15,19.0,19.5,17.62,17.75,5.5471,243800.0,0.0,1.0
1998-01-16,17.81,18.25,17.37,17.37,5.4283,51467.0,0.0,1.0
1998-01-20,17.5,18.62,17.5,18.0,5.6252,102000.0,0.0,1.0
1998-01-21,18.12,18.75,18.0,18.5,5.7814,114267.0,0.0,1.0
1998-01-22,18.5,19.5,18.5,19.31,6.0346,92067.0,0.0,1.0
1998-01-23,19.56,20.0,19.12,19.37,6.0533,97800.0,0.0,1.0
1998-01-26,19.25,19.62,19.19,19.37,6.0533,73667.0,0.0,1.0
1998-01-27,19.44,19.62,19.19,19.37,6.0533,26400.0,0.0,1.0
1998-01-28,19.25,20.0,19.25,19.87,6.2096,141400.0,0.0,1.0
1998-01-29,19.62,20.0,19.62,19.75,6.1721,92067.0,0.0,1.0
1998-01-30,19.0,19.62,18.37,19.37,6.0533,167200.0,0.0,1.0
1998-02-02,19.37,19.44,18.62,18.94,5.9189,116667.0,0.0,1.0
1998-02-03,19.0,19.25,18.62,18.75,5.8596,23800.0,0.0,1.0
1998-02-04,18.94,19.5,18.62,19.0,5.9377,73467.0,0.0,1.0
1998-02-05,19.06,19.06,18.12,18.56,5.8002,40600.0,0.0,1.0
1998-02-06,18.5,18.5,17.5,17.81,5.5658,54267.0,0.0,1.0
1998-02-09,17.75,18.06,17.62,18.0,5.6252,49467.0,0.0,1.0
1998-02-10,18.0,18.37,17.75,17.75,5.5471,24000.0,0.0,1.0
1998-02-11,17.5,17.56,17.12,17.5,5.4689,127600.0,0.0,1.0
1998-02-12,17.62,17.62,16.56,16.87,5.272,97467.0,0.0,1.0
1998-02-13,16.87,17.0,16.87,17.0,5.3127,28667.0,0.0,1.0
1998-02-17,17.0,17.0,16.0,16.5,5.1564,45600.0,0.0,1.0
1998-02-18,16.37,16.37,15.88,16.25,5.0783,35467.0,0.0,1.0
1998-02-19,16.25,16.37,16.19,16.25,5.0783,38067.0,0.0,1.0
1998-02-20,16.37,16.37,15.5,15.63,4.8845,35400.0,0.0,1.0
1998-02-23,15.63,15.88,15.25,15.63,4.8845,167000.0,0.0,1.0
1998-02-24,15.63,16.25,15.63,16.25,5.0783,36200.0,0.0,1.0
1998-02-25,16.37,16.37,15.5,15.88,4.9627,44867.0,0.0,1.0
1998-02-26,15.75,16.06,15.63,15.94,4.9814,27267.0,0.0,1.0
1998-02-27,15.81,16.5,15.75,16.31,5.097,35467.0,0.0,1.0
1998-03-02,16.44,16.44,15.75,15.75,4.922,48467.0,0.0,1.0
1998-03-03,16.0,16.37,15.75,15.81,4.9408,129800.0,0.0,1.0
1998-03-04,15.88,16.31,15.75,16.12,5.0377,67000.0,0.0,1.0
1998-03-05,15.75,16.06,15.5,15.94,4.9814,56400.0,0.0,1.0
1998-03-06,15.88,15.88,15.0,15.0,4.6876,82667.0,0.0,1.0
1998-03-09,15.06,15.25,14.06,14.06,4.3939,137667.0,0.0,1.0
1998-03-10,14.25,15.0,14.25,14.56,4.5501,100867.0,0.0,1.0
1998-03-11,14.63,14.63,14.13,14.25,4.4533,36400.0,0.0,1.0
1998-03-12,14.25,14.38,14.0,14.06,4.3939,30800.0,0.0,1.0
1998-03-13,14.06,15.56,14.06,14.94,4.6689,51067.0,0.0,1.0
1998-03-16,14.94,15.06,14.69,15.06,4.7064,69200.0,0.0,1.0
1998-03-17,15.75,17.0,15.63,17.0,5.3127,219400.0,0.0,1.0
1998-03-18,17.0,17.0,15.5,16.0,5.0002,161200.0,0.0,1.0
1998-03-19,16.12,16.69,16.12,16.5,5.1564,108600.0,0.0,1.0
1998-03-20,16.5,16.5,15.5,15.5,4.8439,65800.0,0.0,1.0
1998-03-23,15.25,15.38,14.75,15.25,4.7658,81667.0,0.0,1.0
1998-03-24,15.38,15.63,15.13,15.19,4.747,77400.0,0.0,1.0
1998-03-25,15.69,15.75,15.5,15.63,4.8845,54000.0,0.0,1.0
1998-03-26,15.69,15.75,15.38,15.5,4.8439,25200.0,0.0,1.0
1998-03-27,15.63,15.63,14.88,14.88,4.6501,34000.0,0.0,1.0
1998-03-30,14.88,15.0,14.63,15.0,4.6876,66067.0,0.0,1.0
1998-03-31,15.0,15.44,14.88,15.25,4.7658,54600.0,0.0,1.0
1998-04-01,15.44,15.5,15.06,15.19,4.747,54267.0,0.0,1.0
1998-04-02,15.44,15.5,15.06,15.13,4.7283,46867.0,0.0,1.0
1998-04-03,15.0,15.44,15.0,15.19,4.747,50867.0,0.0,1.0
1998-04-06,15.25,15.5,15.19,15.31,4.7845,72067.0,0.0,1.0
1998-04-07,15.31,15.31,14.5,14.63,4.572,76667.0,0.0,1.0
1998-04-08,14.69,15.0,14.69,14.88,4.6501,34867.0,0.0,1.0
1998-04-09,15.0,15.13,14.75,15.0,4.6876,24800.0,0.0,1.0
1998-04-13,15.0,15.0,14.75,14.75,4.6095,36600.0,0.0,1.0
1998-04-14,15.0,15.5,15.0,15.38,4.8064,91400.0,0.0,1.0
1998-04-15,15.44,16.5,15.38,16.25,5.0783,88267.0,0.0,1.0
1998-04-16,16.25,16.37,15.88,16.0,5.0002,99800.0,0.0,1.0
1998-04-17,16.0,16.75,16.0,16.5,5.1564,152800.0,0.0,1.0
1998-04-20,16.37,17.0,16.25,17.0,5.3127,51067.0,0.0,1.0
1998-04-21,17.12,17.62,17.12,17.56,5.4877,105200.0,0.0,1.0
1998-04-22,17.56,18.44,17.37,18.19,5.6846,188200.0,0.0,1.0
1998-04-23,18.0,18.0,17.5,17.56,5.4877,39800.0,0.0,1.0
1998-04-24,17.5,17.5,16.25,16.87,5.272,95800.0,0.0,1.0
1998-04-27,16.62,17.37,16.44,17.25,5.3908,87200.0,0.0,1.0
1998-04-28,17.75,18.5,17.37,18.5,5.7814,101800.0,0.0,1.0
1998-04-29,17.94,18.37,17.5,18.0,5.6252,137067.0,0.0,1.0
1998-04-30,18.0,18.87,17.56,17.62,5.5064,385667.0,0.0,1.0
1998-05-01,17.37,18.5,17.25,18.44,5.7627,143800.0,0.0,1.0
1998-05-04,18.44,18.5,17.87,18.0,5.6252,71667.0,0.0,1.0
1998-05-05,18.12,18.12,17.5,17.69,5.5283,87467.0,0.0,1.0
1998-05-06,17.94,18.0,17.19,17.5,5.4689,52600.0,0.0,1.0
1998-05-07,17.06,17.31,16.56,16.56,5.1752,48000.0,0.0,1.0
1998-05-08,16.69,17.75,16.69,17.62,5.5064,49400.0,0.0,1.0
1998-05-11,17.62,17.62,17.12,17.25,5.3908,28200.0,0.0,1.0
1998-05-12,17.25,17.25,16.75,16.87,5.272,15200.0,0.0,1.0
1998-05-13,16.87,17.0,16.0,16.12,5.0377,45800.0,0.0,1.0
1998-05-14,16.37,16.81,16.12,16.75,5.2345,53667.0,0.0,1.0
1998-05-15,16.75,16.75,15.0,15.66,4.8939,137267.0,0.0,1.0
1998-05-18,16.37,16.37,15.25,15.25,4.7658,81067.0,0.0,1.0
1998-05-19,15.38,15.56,15.13,15.25,4.7658,61600.0,0.0,1.0
1998-05-20,15.25,15.56,15.19,15.5,4.8439,34467.0,0.0,1.0
