date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-06-16,9.06,9.25,9.0,9.12,6.08,115800.0,0.0,1.0
2000-06-19,9.12,9.25,9.0,9.0,6.0,302800.0,0.0,1.0
2000-06-20,9.03,9.81,7.88,9.38,6.2533,261600.0,0.0,1.0
2000-06-21,10.0,11.12,9.62,11.0,7.3333,520400.0,0.0,1.0
2000-06-22,11.06,11.12,9.53,9.88,6.5867,190600.0,0.0,1.0
2000-06-23,10.19,10.62,10.0,10.38,6.92,136600.0,0.0,1.0
2000-06-26,10.5,10.62,9.75,10.0,6.6667,101800.0,0.0,1.0
2000-06-27,10.0,10.44,9.0,9.5,6.3333,136800.0,0.0,1.0
2000-06-28,9.62,9.88,9.12,9.62,6.4133,184000.0,0.0,1.0
2000-06-29,9.88,9.88,9.0,9.0,6.0,185400.0,0.0,1.0
2000-06-30,9.31,9.62,9.12,9.44,6.2933,191000.0,0.0,1.0
2000-07-03,9.75,9.75,9.5,9.62,6.4133,32000.0,0.0,1.0
2000-07-05,9.75,10.0,9.5,10.0,6.6667,138200.0,0.0,1.0
2000-07-06,10.0,10.06,9.44,9.75,6.5,129800.0,0.0,1.0
2000-07-07,10.03,11.62,9.56,10.25,6.8333,793600.0,0.0,1.0
2000-07-10,11.06,13.25,10.44,12.56,8.3733,629000.0,0.0,1.0
2000-07-11,13.56,14.25,11.88,12.75,8.5,1337000.0,0.0,1.0
2000-07-12,13.97,15.44,12.69,15.0,10.0,1094600.0,0.0,1.0
2000-07-13,18.0,18.12,16.12,16.75,11.1667,1220200.0,0.0,1.0
2000-07-14,17.62,17.75,14.88,15.5,10.3333,563800.0,0.0,1.0
2000-07-17,16.0,16.12,15.25,15.62,10.4133,184400.0,0.0,1.0
2000-07-18,15.69,15.94,14.38,14.5,9.6667,134200.0,0.0,1.0
2000-07-19,14.38,14.5,13.12,14.0,9.3333,176200.0,0.0,1.0
2000-07-20,13.81,16.62,13.62,15.88,10.5867,263200.0,0.0,1.0
2000-07-21,15.88,17.12,15.62,17.12,11.4133,190600.0,0.0,1.0
2000-07-24,17.0,17.75,16.06,16.75,11.1667,186200.0,0.0,1.0
2000-07-25,16.88,17.25,15.5,16.12,10.7467,96600.0,0.0,1.0
2000-07-26,16.12,17.5,14.12,17.38,11.5867,196400.0,0.0,1.0
2000-07-27,16.75,19.0,16.5,17.12,11.4133,223200.0,0.0,1.0
2000-07-28,17.12,17.19,15.5,16.25,10.8333,151400.0,0.0,1.0
2000-07-31,16.0,19.06,14.88,18.88,12.5867,319600.0,0.0,1.0
2000-08-01,17.94,18.12,17.38,17.44,11.6267,99200.0,0.0,1.0
2000-08-02,17.5,18.19,17.0,17.06,11.3733,66200.0,0.0,1.0
2000-08-03,17.0,18.0,16.5,17.56,11.7067,49000.0,0.0,1.0
2000-08-04,18.0,18.06,16.88,17.06,11.3733,81400.0,0.0,1.0
2000-08-07,17.0,17.38,15.5,16.0,10.6667,116000.0,0.0,1.0
2000-08-08,16.75,16.75,15.5,15.75,10.5,33000.0,0.0,1.0
2000-08-09,15.72,15.94,14.5,14.69,9.7933,78800.0,0.0,1.0
2000-08-10,14.75,15.62,14.62,14.75,9.8333,50200.0,0.0,1.0
2000-08-11,14.31,14.75,13.19,14.0,9.3333,86200.0,0.0,1.0
2000-08-14,14.66,14.66,14.0,14.0,9.3333,37200.0,0.0,1.0
2000-08-15,13.94,14.0,12.62,12.62,8.4133,137000.0,0.0,1.0
2000-08-16,12.75,14.19,12.75,13.69,9.1267,54000.0,0.0,1.0
2000-08-17,14.0,14.5,13.62,14.5,9.6667,119400.0,0.0,1.0
2000-08-18,14.53,14.62,14.0,14.0,9.3333,25800.0,0.0,1.0
2000-08-21,13.91,13.94,13.25,13.56,9.04,16400.0,0.0,1.0
2000-08-22,13.25,13.56,13.12,13.25,8.8333,17800.0,0.0,1.0
2000-08-23,13.0,13.12,12.5,13.06,8.7067,42400.0,0.0,1.0
2000-08-24,12.88,13.0,12.5,12.88,8.5867,49200.0,0.0,1.0
2000-08-25,12.78,15.12,12.5,15.12,10.08,144200.0,0.0,1.0
2000-08-28,15.09,15.12,14.12,14.38,9.5867,41000.0,0.0,1.0
2000-08-29,15.31,15.38,14.12,14.38,9.5867,26800.0,0.0,1.0
2000-08-30,14.53,15.12,14.53,15.0,10.0,17400.0,0.0,1.0
2000-08-31,15.25,15.25,14.0,14.5,9.6667,42600.0,0.0,1.0
2000-09-01,14.53,14.88,13.88,13.88,9.2533,86200.0,0.0,1.0
2000-09-05,14.0,14.28,13.5,13.94,9.2933,77400.0,0.0,1.0
2000-09-06,13.88,14.0,13.5,13.75,9.1667,71000.0,0.0,1.0
2000-09-07,13.75,14.0,13.5,13.88,9.2533,48200.0,0.0,1.0
2000-09-08,13.94,14.44,13.75,14.0,9.3333,62400.0,0.0,1.0
2000-09-11,14.06,14.19,13.81,14.19,9.46,33400.0,0.0,1.0
2000-09-12,14.31,14.94,14.25,14.94,9.96,77800.0,0.0,1.0
2000-09-13,14.88,14.88,14.0,14.06,9.3733,36800.0,0.0,1.0
2000-09-14,14.5,14.75,14.0,14.56,9.7067,46000.0,0.0,1.0
2000-09-15,14.22,14.56,13.25,13.5,9.0,59400.0,0.0,1.0
