date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
1998-01-02,38.25,38.63,37.5,38.13,1.0736,101300.0,0.0,1.0
1998-01-05,38.38,39.25,38.0,39.0,1.0981,232400.0,0.0,1.0
1998-01-06,38.5,39.25,37.88,39.13,1.1017,332200.0,0.0,1.0
1998-01-07,39.25,39.38,38.38,38.88,1.0947,129100.0,0.0,1.0
1998-01-08,38.63,40.38,38.63,39.5,1.1122,474000.0,0.0,1.0
1998-01-09,39.75,39.75,38.13,38.38,1.0806,384900.0,0.0,1.0
1998-01-12,38.0,38.0,36.5,37.0,1.0418,159400.0,0.0,1.0
1998-01-13,37.0,39.0,37.0,38.5,1.084,305200.0,0.0,1.0
1998-01-14,38.38,38.75,37.5,37.75,1.0629,199000.0,0.0,1.0
1998-01-15,37.5,38.38,37.5,38.38,1.0806,130500.0,0.0,1.0
1998-01-16,39.13,39.13,38.25,39.13,1.1017,109800.0,0.0,1.0
1998-01-20,39.13,40.06,38.88,39.94,1.1245,137000.0,0.0,1.0
1998-01-21,39.63,40.0,38.0,38.0,1.0699,482300.0,0.0,1.0
1998-01-22,38.0,38.88,38.0,38.25,1.077,276600.0,0.0,1.0
1998-01-23,39.0,39.0,37.63,38.44,1.0823,200200.0,0.0,1.0
1998-01-26,39.0,39.75,38.06,38.31,1.0787,556500.0,0.0,1.0
1998-01-27,38.5,39.19,37.25,39.19,1.1034,192700.0,0.0,1.0
1998-01-28,39.25,41.88,39.25,41.88,1.1792,388200.0,0.0,1.0
1998-01-29,41.38,42.25,41.13,42.0,1.1825,162300.0,0.0,1.0
1998-01-30,41.0,41.5,40.13,40.5,1.1403,659400.0,0.0,1.0
1998-02-02,41.25,41.5,38.25,38.75,1.091,767000.0,0.0,1.0
1998-02-03,38.63,39.88,37.63,39.5,1.1122,560400.0,0.0,1.0
1998-02-04,39.5,40.5,39.13,39.5,1.1122,278400.0,0.0,1.0
1998-02-05,39.88,40.13,36.38,36.88,1.0384,596600.0,0.0,1.0
1998-02-06,37.25,40.13,37.25,39.63,1.1158,871500.0,0.0,1.0
1998-02-09,39.63,40.0,37.75,38.0,1.0699,268300.0,0.0,1.0
1998-02-10,38.13,38.13,36.88,37.13,1.0454,543800.0,0.0,1.0
1998-02-11,37.5,38.13,36.63,37.25,1.0488,263900.0,0.0,1.0
1998-02-12,37.38,37.63,37.0,37.38,1.0525,41600.0,0.0,1.0
1998-02-13,37.25,37.63,36.5,37.0,1.0418,260100.0,0.0,1.0
1998-02-17,37.25,37.5,36.0,36.16,1.0181,310200.0,0.0,1.0
1998-02-18,36.25,37.0,35.38,35.94,1.0119,537200.0,0.0,1.0
1998-02-19,36.0,36.0,35.5,35.63,1.0032,116300.0,0.0,1.0
1998-02-20,36.0,37.0,35.56,36.94,1.0401,168600.0,0.0,1.0
1998-02-23,37.0,38.13,36.75,37.31,1.0505,139600.0,0.0,1.0
1998-02-24,37.75,37.75,36.0,36.06,1.0153,133300.0,0.0,1.0
1998-02-25,36.5,37.13,36.13,37.0,1.0418,356300.0,0.0,1.0
1998-02-26,36.88,37.13,35.0,36.13,1.0173,389500.0,0.0,1.0
1998-02-27,35.88,36.13,35.38,35.81,1.0083,1116600.0,0.0,1.0
1998-03-02,35.88,36.63,35.5,36.0,1.0136,197000.0,0.0,1.0
1998-03-03,36.0,36.13,35.38,36.13,1.0173,402800.0,0.0,1.0
1998-03-04,35.88,36.38,35.88,36.0,1.0136,266000.0,0.0,1.0
1998-03-05,35.5,36.38,35.25,36.13,1.0173,153900.0,0.0,1.0
1998-03-06,36.13,37.88,36.13,37.63,1.0595,469300.0,0.0,1.0
1998-03-09,37.13,38.25,37.13,37.81,1.0646,82800.0,0.0,1.0
1998-03-10,38.0,38.5,37.75,37.88,1.0665,210100.0,0.0,1.0
1998-03-11,38.13,38.75,38.0,38.38,1.0806,422200.0,0.0,1.0
1998-03-12,38.25,39.5,38.25,39.31,1.1068,385500.0,0.0,1.0
1998-03-13,39.25,39.38,38.63,38.69,1.0894,146800.0,0.0,1.0
1998-03-16,38.88,39.0,38.25,38.38,1.0806,96400.0,0.0,1.0
1998-03-17,38.75,40.0,38.38,40.0,1.1262,213000.0,0.0,1.0
1998-03-18,40.0,40.13,39.38,39.63,1.1158,376000.0,0.0,1.0
1998-03-19,40.13,40.38,39.5,39.88,1.1229,284600.0,0.0,1.0
1998-03-20,39.88,39.88,39.25,39.63,1.1158,123800.0,0.0,1.0
1998-03-23,39.63,39.88,39.38,39.56,1.1138,163700.0,0.0,1.0
1998-03-24,39.63,39.88,39.25,39.63,1.1158,507700.0,0.0,1.0
1998-03-25,39.38,40.38,39.38,39.5,1.1122,124000.0,0.0,1.0
1998-03-26,39.5,40.13,39.38,39.75,1.1192,73700.0,0.0,1.0
1998-03-27,39.63,39.94,39.38,39.56,1.1138,62800.0,0.0,1.0
1998-03-30,39.88,39.88,38.88,38.88,1.0947,377500.0,0.0,1.0
1998-03-31,38.75,38.88,33.75,36.0,1.0136,1712600.0,0.0,1.0
1998-04-01,36.5,36.88,34.25,34.25,0.9643,1058600.0,0.0,1.0
1998-04-02,36.38,37.25,35.38,35.81,1.0083,838800.0,0.0,1.0
1998-04-03,36.0,36.31,34.5,36.13,1.0173,955900.0,0.0,1.0
1998-04-06,43.0,44.25,42.38,43.25,1.2177,2157000.0,0.0,1.0
1998-04-07,43.0,43.13,42.0,43.0,1.2107,819600.0,0.0,1.0
1998-04-08,43.25,43.75,42.25,42.63,1.2003,607600.0,0.0,1.0
1998-04-09,42.75,43.25,41.75,41.75,1.1755,202700.0,0.0,1.0
1998-04-13,41.75,42.25,40.75,42.0,1.1825,364800.0,0.0,1.0
1998-04-14,42.0,43.25,41.5,42.88,1.2073,224100.0,0.0,1.0
1998-04-15,42.88,43.0,42.34,42.38,1.1932,154000.0,0.0,1.0
1998-04-16,41.75,42.25,41.5,42.0,1.1825,161800.0,0.0,1.0
1998-04-17,41.5,41.75,40.75,41.63,1.1721,612600.0,0.0,1.0
1998-04-20,41.5,42.25,41.5,42.19,1.1879,161300.0,0.0,1.0
1998-04-21,41.38,42.19,41.0,41.38,1.1651,103300.0,0.0,1.0
1998-04-22,41.5,41.75,41.13,41.5,1.1685,55100.0,0.0,1.0
1998-04-23,41.5,41.63,41.13,41.13,1.1581,40500.0,0.0,1.0
1998-04-24,41.13,41.25,39.31,39.38,1.1088,241600.0,0.0,1.0
1998-04-27,38.38,39.0,37.0,37.88,1.0665,505800.0,0.0,1.0
1998-04-28,38.0,38.38,37.75,38.25,1.077,35300.0,0.0,1.0
1998-04-29,38.5,39.19,37.5,38.63,1.0877,165600.0,0.0,1.0
1998-04-30,39.38,39.38,37.88,38.0,1.0699,205400.0,0.0,1.0
1998-05-01,38.0,38.25,38.0,38.0,1.0699,107600.0,0.0,1.0
1998-05-04,37.94,38.63,37.94,38.63,1.0877,262000.0,0.0,1.0
1998-05-05,38.5,38.5,37.88,38.0,1.0699,109100.0,0.0,1.0
1998-05-06,37.88,38.13,37.0,37.38,1.0525,304500.0,0.0,1.0
1998-05-07,37.5,38.0,37.5,37.5,1.0558,99500.0,0.0,1.0
1998-05-08,38.0,38.0,37.44,37.63,1.0595,115500.0,0.0,1.0
1998-05-11,37.69,37.88,35.81,35.81,1.0083,275100.0,0.0,1.0
1998-05-12,35.88,36.13,35.25,36.0,1.0136,435700.0,0.0,1.0
1998-05-13,36.0,36.13,35.75,36.13,1.0173,191600.0,0.0,1.0
1998-05-14,36.13,36.13,35.25,35.5,0.9995,464500.0,0.0,1.0
1998-05-15,35.5,37.25,35.5,37.25,1.0488,486300.0,0.0,1.0
1998-05-18,37.25,37.5,35.88,36.0,1.0136,211400.0,0.0,1.0
1998-05-19,36.0,37.25,35.88,36.44,1.026,88800.0,0.0,1.0
1998-05-20,35.94,35.94,35.94,35.94,1.0119,88700.0,0.0,1.0
1998-05-21,36.13,36.38,35.75,36.0,1.0136,181900.0,0.0,1.0
1998-05-22,36.13,36.13,35.0,35.06,0.9871,103700.0,0.0,1.0
1998-05-26,35.38,35.63,34.0,34.13,0.961,298100.0,0.0,1.0
1998-05-27,33.5,34.5,33.5,33.63,0.9469,304500.0,0.0,1.0
1998-05-28,34.13,34.88,33.63,34.75,0.9784,238000.0,0.0,1.0
1998-05-29,34.88,35.25,32.38,32.38,0.9117,187800.0,0.0,1.0
1998-06-01,32.63,33.0,31.88,32.5,0.9151,262600.0,0.0,1.0
1998-06-02,32.25,33.63,32.25,33.38,0.9398,257100.0,0.0,1.0
1998-06-03,33.75,33.88,32.25,32.88,0.9258,143000.0,0.0,1.0
1998-06-04,33.0,33.63,32.5,33.38,0.9398,119400.0,0.0,1.0
1998-06-05,33.5,33.5,32.88,33.38,0.9398,100700.0,0.0,1.0
1998-06-08,33.38,34.25,33.0,33.88,0.9539,301200.0,0.0,1.0
1998-06-09,34.0,34.0,33.13,33.63,0.9469,136200.0,0.0,1.0
1998-06-10,33.38,33.75,32.62,32.62,0.9184,101400.0,0.0,1.0
1998-06-11,33.0,33.13,31.88,32.0,0.901,121900.0,0.0,1.0
1998-06-12,32.5,32.75,31.5,31.63,0.8906,84200.0,0.0,1.0
1998-06-15,31.25,32.25,31.25,32.13,0.9047,91700.0,0.0,1.0
1998-06-16,31.88,34.88,31.88,34.63,0.975,295400.0,0.0,1.0
1998-06-17,34.88,35.13,33.0,33.13,0.9328,168900.0,0.0,1.0
1998-06-18,33.25,34.5,33.0,34.25,0.9643,227700.0,0.0,1.0
1998-06-19,34.13,34.5,33.88,34.19,0.9627,118300.0,0.0,1.0
1998-06-22,34.25,34.75,33.63,34.56,0.9731,250000.0,0.0,1.0
1998-06-23,34.88,35.25,34.5,34.5,0.9714,962300.0,0.0,1.0
1998-06-24,34.5,35.13,34.25,34.5,0.9714,301700.0,0.0,1.0
1998-06-25,36.5,36.5,32.75,33.75,0.9503,1001500.0,0.0,1.0
1998-06-26,34.0,35.0,33.25,34.63,0.975,1089500.0,0.0,1.0
1998-06-29,34.5,36.19,34.25,35.13,0.9891,471400.0,0.0,1.0
1998-06-30,35.38,35.38,31.44,32.06,0.9027,751500.0,0.0,1.0
1998-07-01,34.25,34.25,30.38,30.38,0.8554,1366400.0,0.0,1.0
1998-07-02,26.63,28.38,24.25,25.38,0.7146,3838800.0,0.0,1.0
1998-07-06,26.0,26.0,24.25,25.06,0.7056,947200.0,0.0,1.0
1998-07-07,25.0,25.13,23.63,24.06,0.6774,789800.0,0.0,1.0
1998-07-08,24.63,25.63,24.25,25.5,0.718,512700.0,0.0,1.0
1998-07-09,26.63,26.75,24.25,24.75,0.6969,906100.0,0.0,1.0
1998-07-10,24.75,25.13,23.63,24.06,0.6774,616300.0,0.0,1.0
1998-07-13,24.63,24.63,23.0,23.5,0.6617,471300.0,0.0,1.0
1998-07-14,23.88,24.13,23.5,23.75,0.6687,767000.0,0.0,1.0
1998-07-15,24.25,24.5,23.63,24.13,0.6794,544800.0,0.0,1.0
1998-07-16,24.5,24.5,23.25,23.75,0.6687,745600.0,0.0,1.0
1998-07-17,23.62,23.87,22.87,23.25,0.6546,386800.0,0.0,1.0
1998-07-20,23.25,23.88,22.38,23.81,0.6704,434400.0,0.0,1.0
1998-07-21,23.5,23.75,22.75,22.88,0.6442,366600.0,0.0,1.0
1998-07-22,22.75,23.13,22.5,22.88,0.6442,590000.0,0.0,1.0
1998-07-23,22.88,24.75,22.88,23.0,0.6476,1683400.0,0.0,1.0
1998-07-24,23.5,23.63,22.75,23.0,0.6476,871400.0,0.0,1.0
1998-07-27,22.88,22.88,21.5,22.5,0.6335,539200.0,0.0,1.0
1998-07-28,22.38,22.5,21.38,21.63,0.609,222700.0,0.0,1.0
1998-07-29,22.13,22.38,21.25,22.0,0.6194,212500.0,0.0,1.0
1998-07-30,22.63,23.63,22.38,23.25,0.6546,446000.0,0.0,1.0
1998-07-31,24.0,24.75,23.38,23.5,0.6617,790800.0,0.0,1.0
1998-08-03,23.75,24.13,22.66,23.69,0.667,358200.0,0.0,1.0
1998-08-04,23.5,24.38,22.25,22.5,0.6335,327000.0,0.0,1.0
1998-08-05,22.38,23.0,21.88,23.0,0.6476,198900.0,0.0,1.0
1998-08-06,22.75,23.75,22.75,23.69,0.667,406700.0,0.0,1.0
1998-08-07,23.5,24.75,23.38,24.38,0.6864,391500.0,0.0,1.0
1998-08-10,23.88,24.75,23.88,24.75,0.6969,270500.0,0.0,1.0
1998-08-11,23.88,23.88,23.25,23.38,0.6583,673100.0,0.0,1.0
1998-08-12,23.88,24.0,23.25,23.88,0.6724,262500.0,0.0,1.0
1998-08-13,24.25,24.63,23.5,23.88,0.6724,438300.0,0.0,1.0
1998-08-14,23.75,24.13,22.94,23.25,0.6546,294500.0,0.0,1.0
1998-08-17,23.25,23.5,22.88,23.16,0.6521,350900.0,0.0,1.0
1998-08-18,23.5,23.5,22.69,22.75,0.6405,277500.0,0.0,1.0
1998-08-19,23.0,23.0,22.75,22.88,0.6442,527800.0,0.0,1.0
1998-08-20,23.0,23.0,21.75,22.06,0.6211,219200.0,0.0,1.0
1998-08-21,22.19,22.5,21.38,22.5,0.6335,120000.0,0.0,1.0
1998-08-24,22.88,23.0,21.63,21.63,0.609,161900.0,0.0,1.0
1998-08-25,22.25,22.25,20.81,20.88,0.5879,198700.0,0.0,1.0
1998-08-26,20.75,21.0,20.38,20.5,0.5772,306100.0,0.0,1.0
